id,text,category,rating
20091+2,我们预计2009-2010年公司每股收益分别为0.93元、1.30元、1.43元，对应市盈率为42倍、29倍、27倍。2009年给予公司35倍PE，合理价位在33元，首次“持有”评级。,0,0
20092+2,我们认为公司下半年随着全球经济的复苏，整体的盈利情况将得到改善，预测公司2009、2010年全年业绩为0.31、0.54元。暂时维持谨慎推荐的投资评级不变。企业在军工用钛材方面的技术优势将是企业未来的投资亮点。,0,0
20093+2,目前估值已经比较充分的反映了以上利好因素，暂时下调燕京评级至“持有”。,1,0
20094+2,盈利预测和投资建议。我们暂时给予公司2009、2010年EPS分别为0.12元、0.38元的盈利预测，按09年中期末净资产计算，公司PB为1.66倍，估值优势显著，维持公司“推荐A”的投资评级，建议投资者积极关注。,1,1
20095+2,"盈利预测与评级：我们按2010年、2011年电解铝价格分别为16000元/吨、17000元/吨,电解铝产量稳定在42万吨不变的假设下，预计公司相应每股收益为1.04元、1.10元，目标价格为28元。维持公司的“增持”投资评级。",1,1
20096+2,投资评级：我们假设2010年、2011年黄金价格230元/克及240元/克，公司矿产金产量18.5吨与22吨的假设，重新测算了公司相应的EPS为1.47元与1.93元，对应3月18日收盘价相应P/E为47.62、36.3，公司资产注入预期明确，且成长性良好，我们维持山东黄金“增持”的投资评级。,1,1
20097+2,抑制产能过剩的政策将有效保障包括冀东在内的优势企业的盈利能力，预计今明两年公司销量分别为3000和4100万吨，EPS分别为0.79和0.98元。估值已低于行业整体，和沪深300指数的PE比值也处于历史较低水平。考虑到公司较高的成长性，目前估值明显偏低，维持“增持”评级。,1,1
20098+2,"华微电子（600360）三季报点评TMT/电子元器件全年扭亏概率较大研究员薄小明李皓E_mail:clark1205@tom.com电话：0755－83689042报告日期2009.9.263个月目标价8元当前股价6.15元投资评级买入基础数据上证指数3056.86总股本（百万）522流通A股（百万股）410总市值（百万）3,218每股净资产（元）2.82ROE（TTM）-2.09资产负债率41.59动态市盈率-105.01动态市净率2.19近一年股价表现华微电子上证指数相关报告1.华微电子半年报点评—业绩拐点已现，看好新型功率器件对未来销售的拉动作用（20090901）2.电子元器件四季度策略报告—围绕复苏主线选择股票（20091013）重要事件：根据预测，公司09-11年EPS分别为0.05、0.34、0.43元。本年度扭亏的情况下明年业绩出现较大增长的可能性较大，因此我们给予买入评级。",1,1
20099+2,未来六个月内，“跑赢大市”；公司上半年产品结构转型成功，大力发展了保障型和分红型产品。公司标准保费同时增长20%。在09年成功发行10亿股H股的假设下，给予公司25-30倍新业务价值乘数，公司的目标价格在23.3-28.1元之间，给予公司“跑赢大市”评级。,0,1
200910+2,,0,1
200911+2,受投资需求以及央行购金的支撑，黄金价格预计仍将保持高位震荡态势，预测公司2009年、2010年和2011年的每股收益分别为：0.47元、1.09元和1.46元，对应的2009年和2010年市盈率分别为111.4倍和48.0倍，给予中性评级。,1,0
200912+2,再次上调公司09年盈利预测至0.45元，维持“推荐”评级。,0,1
200913+2,,1,0
200914+2,估值与评级。我们预测公司的2009年和2010年的每股收益为0.71元和0.91元，我们看好其长期发展，基于传媒行业的未来的高速发展，给予公司2010年30倍市盈率，目标价格27元，买入评级。,1,1
200915+2,业绩判断：预计2009、2010、2011年公司主营业务收入增长速度将分别为31.8%、35.2%、33.9%，预测EPS分别为1.36元、1.82元、2.40元。2010年动态PE应在20倍左右，目标价36.4元，给予“推荐”的投资评级。,1,1
200916+2,首次评级为“推荐”预计公司2009-2011年每股收益分别为0.48、0.75（摊薄后）和1.05（摊薄后）元，公司2010年的合理估值水平应介于主业为风机叶片中材科技和主业为铁路线路配件的晋亿实业之间，即27倍左右，六个月目标价20.25。给予“推荐”评级。,1,1
